map_id	map_id_hex	map_symbol	map_name_cn	warp_count	warp_scripts	proc_x_range	proc_y_range	entity_x_range	entity_y_range	known_safe_spawn_points	collision_candidate_offset	collision_candidate_size	visual_tilemap_candidate	entity_table_candidate	notes
10	0x00A			8	39,134,423,523,695,760,894,1301	24..192	80..208	24..192	80..216	s39(120,216,f1);s134(24,152,f0);s423(120,208,f1);s523(120,208,f1);s695(192,80,f3);s760(120,208,f1);s894(120,208,f1);s1301(120,210,f1)	0x1210BC	0x80			collision candidate is not yet the verified full 64x64 grid
11	0x00B			1	123	24..24	96..96	24..24	96..96	s123(24,96,f1)	0x12113C	0x80			collision candidate is not yet the verified full 64x64 grid
12	0x00C			25	34,38,44,55,64,78,360,370,777,779,848,877,878,879,898,899,908,918,919,936,937,956,957,1205	183..308	64..320	104..308	64..320	s34(168,152,f0);s38(184,272,f1);s44(168,152,f0);s55(168,152,f0);s64(168,152,f0);s78(168,152,f0);s360(308,64,f0);s370(184,320,f1)	0x1211BC	0x80			collision candidate is not yet the verified full 64x64 grid
13	0x00D			2	105,764	120..120	141..208	120..120	193..208	s105(120,208,f1);s764(120,193,f1)	0x12123C	0x80			collision candidate is not yet the verified full 64x64 grid
14	0x00E			12	72,371,712,713,742,744,745,750,776,947,1303	84..152	80..208	84..129	104..260	s72(120,104,f1);s72(120,120,f1);s371(120,208,f1);s712(84,156,f3);s713(84,156,f3);s742(128,119,f1);s744(128,118,f1);s745(129,120,f1)	0x1212BC	0x80			collision candidate is not yet the verified full 64x64 grid
15	0x00F	MAP_SHOP_INTERIOR	商店室内	10	16,20,24,29,201,372,423,721,753,1300	100..228	64..320	88..228	64..320	s16(145,274,f1);s20(184,258,f1);s24(144,279,f1);s29(88,200,f1);s201(100,64,f0);s372(144,320,f1);s423(144,320,f1);s721(228,152,f1)	0x12133C	0x80			collision candidate is not yet the verified full 64x64 grid
16	0x010			5	24,29,205,751,1304	92..198	165..320	92..160	201..330	s24(160,240,f3);s29(134,201,f3);s205(92,320,f1);s751(92,330,f1);s1304(92,320,f1)	0x1213BC	0x80			collision candidate is not yet the verified full 64x64 grid
17	0x011			1	984	59..59	153..153				0x12143C	0x80			collision candidate is not yet the verified full 64x64 grid
18	0x012			2	91,986	120..143	112..208	120..143	112..208	s91(120,208,f1);s986(143,112,f2)	0x1214BC	0x80			collision candidate is not yet the verified full 64x64 grid
19	0x013			27	29,51,66,69,250,373,654,655,656,657,658,684,685,686,687,688,694,769,773,776,781,944,950	24..264	85..320	24..311	106..320	s51(304,232,f0);s66(120,272,f1);s69(136,256,f1);s69(184,128,f3);s69(144,144,f2);s250(24,152,f0);s373(184,320,f1)	0x12153C	0x80			collision candidate is not yet the verified full 64x64 grid
20	0x014			1	237	24..24	64..64	24..24	64..64	s237(24,64,f1)	0x1215BC	0x80			collision candidate is not yet the verified full 64x64 grid
21	0x015			13	46,51,52,268,284,374,711,763,781,911,1302	40..293	64..320	40..315	64..320	s46(184,280,f1);s46(184,139,f0);s46(184,139,f0);s51(136,235,f1);s52(315,248,f1);s268(92,64,f0);s284(40,96,f0);s374(184,320,f1)	0x12163C	0x80			collision candidate is not yet the verified full 64x64 grid
22	0x016			3	51,271,792	68..176	80..320	92..176	111..320	s51(176,111,f1);s271(92,320,f1);s792(103,224,f1)	0x1216BC	0x80			collision candidate is not yet the verified full 64x64 grid
23	0x017			3	49,272,906	40..276	80..248	40..276	248..248	s49(276,248,f1);s272(40,248,f1);s906(40,248,f0)	0x12173C	0x80			collision candidate is not yet the verified full 64x64 grid
24	0x018			6	57,59,307,376,929,933	120..216	76..208	120..216	144..208	s57(120,208,f1);s59(120,144,f1);s307(216,168,f0);s376(120,208,f1);s929(120,208,f1);s933(120,208,f1)	0x1217BC	0x80			collision candidate is not yet the verified full 64x64 grid
25	0x019			1	305	216..216	96..96	216..216	96..96	s305(216,96,f1)	0x12183C	0x80			collision candidate is not yet the verified full 64x64 grid
26	0x01A			8	62,300,375,726,731,732,1305	68..216	80..208	120..216	96..208	s62(120,208,f1);s62(128,96,f1);s300(216,144,f0);s375(120,208,f1);s726(120,152,f2);s731(120,208,f1);s732(120,208,f1);s1305(120,208,f1)	0x1218BC	0x80			collision candidate is not yet the verified full 64x64 grid
27	0x01B			2	62,292	120..216	80..88	128..216	88..104	s62(128,104,f2);s292(216,88,f1)	0x12193C	0x80			collision candidate is not yet the verified full 64x64 grid
28	0x01C			3	362,815	120..172	123..208	120..172	123..208	s362(120,208,f1);s815(172,123,f0);s815(121,165,f1)	0x1219BC	0x80			collision candidate is not yet the verified full 64x64 grid
29	0x01D	MAP_PLAYER_HOUSE	玩家房屋	123	33,35,43,45,54,56,63,65,77,79,111,112,113,114,115,168,169,170,589,590,592,593,595,596	117..448	24..208	117..448	-46..208	s33(331,148,f2);s35(303,148,f3);s43(331,148,f2);s45(303,148,f3);s54(331,148,f2);s56(303,148,f3);s63(331,148,f2);s65(303,148,f3)	0x121A3C	0x80			collision candidate is not yet the verified full 64x64 grid
30	0x01E			1	377	120..120	208..208	120..120	208..208	s377(120,208,f1)	0x121ABC	0x80			collision candidate is not yet the verified full 64x64 grid
31	0x01F			4	378,399,717,763	92..216	136..208	92..216	136..208	s378(120,208,f1);s399(216,136,f0);s717(92,153,f1);s763(119,168,f1)	0x121B3C	0x80			collision candidate is not yet the verified full 64x64 grid
32	0x020			1	390	216..216	64..64	216..216	64..64	s390(216,64,f1)	0x121BBC	0x80			collision candidate is not yet the verified full 64x64 grid
33	0x021			4	24,380,422,915	120..136	80..208	103..120	80..216	s24(103,167,f1);s380(120,208,f1);s422(120,80,f1);s915(120,216,f1)	0x121C3C	0x80			collision candidate is not yet the verified full 64x64 grid
34	0x022			1	416	120..120	152..152	120..120	152..152	s416(120,152,f0)	0x121CBC	0x80			collision candidate is not yet the verified full 64x64 grid
35	0x023			3	107,986	120..143	112..208	120..143	112..208	s107(120,208,f1);s107(120,208,f1);s986(143,112,f2)	0x121D3C	0x80			collision candidate is not yet the verified full 64x64 grid
36	0x024			3	108,714,795	120..124	72..208	120..124	72..250	s108(120,208,f1);s714(120,250,f1);s795(124,72,f0)	0x121DBC	0x80			collision candidate is not yet the verified full 64x64 grid
37	0x025			1	171	184..184	272..272	184..184	272..272	s171(184,272,f1)	0x121E3C	0x80			collision candidate is not yet the verified full 64x64 grid
38	0x026			2	528,926	120..120	80..208	120..120	208..208	s528(120,208,f1);s926(120,208,f1)	0x121EBC	0x80			collision candidate is not yet the verified full 64x64 grid
39	0x027			2	529,986	103..120	83..208	103..120	83..208	s529(120,208,f1);s986(103,83,f0)	0x121F3C	0x80			collision candidate is not yet the verified full 64x64 grid
40	0x028			1	179	120..120	208..208	120..120	208..208	s179(120,208,f1)	0x121FBC	0x80			collision candidate is not yet the verified full 64x64 grid
41	0x029			3	521,530,568	40..216	168..208	40..216	168..208	s521(40,208,f1);s530(168,208,f1);s568(216,168,f0)	0x12203C	0x80			collision candidate is not yet the verified full 64x64 grid
42	0x02A			1	561	216..216	96..96	216..216	96..96	s561(216,96,f1)	0x1220BC	0x80			collision candidate is not yet the verified full 64x64 grid
43	0x02B			1	401	120..120	144..144	120..120	144..144	s401(120,144,f1)	0x12213C	0x80			collision candidate is not yet the verified full 64x64 grid
45	0x02D			1	1128	236..236	326..326	236..236	326..326		0x12223C	0x80			collision candidate is not yet the verified full 64x64 grid
46	0x02E			1	1128	236..236	326..326	236..236	326..326		0x1222BC	0x80			collision candidate is not yet the verified full 64x64 grid
47	0x02F			1	1128	236..236	326..326	236..236	326..326		0x12233C	0x80			collision candidate is not yet the verified full 64x64 grid
48	0x030			1	1063	0..0	0..0	104..104	32..32		0x1223BC	0x80			collision candidate is not yet the verified full 64x64 grid
49	0x031			3	1060,1061,1062	0..0	0..0	80..118	46..80		0x12243C	0x80			collision candidate is not yet the verified full 64x64 grid
50	0x032			2	1061	0..0	0..0	35..35	72..72		0x1224BC	0x80			collision candidate is not yet the verified full 64x64 grid
51	0x033			4	1060,1062	0..0	0..0	31..35	72..95		0x12253C	0x80			collision candidate is not yet the verified full 64x64 grid
52	0x034			1	89	120..120	192..192	120..120	192..192	s89(120,192,f1)	0x1225BC	0x80			collision candidate is not yet the verified full 64x64 grid
58	0x03A	MAP_SPRING_MINE	泉水矿洞	0							0x1228BC	0x80			collision candidate is not yet the verified full 64x64 grid
308	0x134			1	92	120..120	192..192	120..120	192..192	s92(120,192,f1)					collision candidate is not yet the verified full 64x64 grid
